,Game Type,Match ID,Tier Average,user,Match Status,Match Duration,Champion Used,K/D/A,Kill Participation,Total CS,Control Wards Bought,User Level,D_spell,F_spell
17,Ranked Solo,3668175343,Grandmaster,LAFLAMME 01,Victory,27m 43s,Nami,3 / 5 / 19,P/Kill 61%,11 (0.4) CS,Control Ward 9,Level13,Flash,Ignite
18,Ranked Solo,3668075170,Grandmaster,LAFLAMME 01,Defeat,27m 8s,Alistar,0 / 4 / 10,P/Kill 71%,40 (1.5) CS,Control Ward 15,Level12,Flash,Ignite
19,Ranked Solo,3666659519,Grandmaster,LAFLAMME 01,Victory,18m 34s,Alistar,1 / 0 / 14,P/Kill 79%,26 (1.4) CS,Control Ward 5,Level9,Flash,Ignite
20,Ranked Solo,3666587344,Grandmaster,LAFLAMME 01,Victory,31m 5s,Morgana,2 / 5 / 20,P/Kill 56%,29 (0.9) CS,Control Ward 12,Level14,Flash,Ignite
21,Ranked Solo,3666489439,Grandmaster,LAFLAMME 01,Victory,21m 18s,Alistar,1 / 3 / 18,P/Kill 49%,33 (1.5) CS,Control Ward 7,Level11,Flash,Ignite
22,Ranked Solo,3666466011,Grandmaster,LAFLAMME 01,Victory,30m 53s,Rakan,5 / 4 / 19,P/Kill 67%,33 (1.1) CS,Control Ward 11,Level14,Flash,Ignite
23,Ranked Solo,3665641932,Grandmaster,LAFLAMME 01,Victory,28m 31s,Alistar,3 / 5 / 13,P/Kill 52%,29 (1) CS,Control Ward 12,Level13,Flash,Ignite
24,Ranked Solo,3665506758,Grandmaster,LAFLAMME 01,Victory,24m 38s,Alistar,5 / 1 / 19,P/Kill 73%,30 (1.2) CS,Control Ward 9,Level12,Flash,Ignite
25,Ranked Solo,3665426707,Grandmaster,LAFLAMME 01,Victory,37m 2s,Blitzcrank,1 / 8 / 21,P/Kill 61%,37 (1) CS,Control Ward 20,Level16,Flash,Ignite
26,Ranked Solo,3665429913,Grandmaster,LAFLAMME 01,Defeat,15m 24s,Leona,0 / 3 / 7,P/Kill 78%,26 (1.7) CS,Control Ward 4,Level8,Flash,Ignite
27,Ranked Solo,3665331109,Grandmaster,LAFLAMME 01,Victory,33m 33s,Leona,2 / 9 / 20,P/Kill 55%,51 (1.5) CS,Control Ward 11,Level14,Flash,Ignite
28,Ranked Solo,3665250607,Grandmaster,LAFLAMME 01,Defeat,35m 41s,Orianna,0 / 6 / 8,P/Kill 35%,278 (7.8) CS,Control Ward 8,Level16,Flash,Teleport
29,Ranked Solo,3664307553,Grandmaster,LAFLAMME 01,Victory,25m 31s,Lux,3 / 2 / 16,P/Kill 58%,23 (0.9) CS,Control Ward 11,Level13,Flash,Exhaust
30,Ranked Solo,3664093814,Grandmaster,LAFLAMME 01,Victory,26m 38s,Leona,4 / 4 / 20,P/Kill 44%,34 (1.3) CS,Control Ward 13,Level14,Flash,Ignite
31,Ranked Solo,3664021163,Grandmaster,LAFLAMME 01,Defeat,33m 42s,Rakan,1 / 7 / 20,P/Kill 66%,41 (1.2) CS,Control Ward 20,Level15,Flash,Ignite
32,Normal,3663814532,None,LAFLAMME 01,Defeat,18m 7s,Yasuo,0 / 6 / 1,P/Kill 10%,43 (2.4) CS,0,Level8,Flash,Exhaust
33,Normal,3663698712,None,LAFLAMME 01,Defeat,15m 41s,Akali,0 / 5 / 1,P/Kill 13%,109 (7) CS,0,Level10,Flash,Teleport
34,Normal,3663704703,None,LAFLAMME 01,Victory,20m 25s,Akali,10 / 2 / 4,P/Kill 34%,177 (8.7) CS,Control Ward 2,Level14,Flash,Teleport
35,Normal,3663661984,None,LAFLAMME 01,Victory,20m 13s,Pyke,6 / 5 / 16,P/Kill 44%,28 (1.4) CS,Control Ward 5,Level11,Flash,Ignite
36,Normal,3663616344,None,LAFLAMME 01,Victory,29m 17s,Karma,5 / 9 / 30,P/Kill 80%,123 (4.2) CS,Control Ward 1,Level16,Flash,Exhaust
37,Normal,3662894445,None,LAFLAMME 01,Victory,37m 7s,Kai'Sa,16 / 11 / 15,P/Kill 48%,311 (8.4) CS,0,Level18,Flash,Heal
38,Normal,3662819724,None,LAFLAMME 01,Victory,40m 54s,Miss Fortune,9 / 11 / 14,P/Kill 49%,300 (7.3) CS,0,Level18,Flash,Heal
39,Normal,3662846436,None,LAFLAMME 01,Victory,15m 31s,Jinx,5 / 0 / 2,P/Kill 33%,155 (10) CS,0,Level10,Flash,Barrier
40,Normal,3662810793,None,LAFLAMME 01,Victory,30m 18s,Xayah,22 / 10 / 14,P/Kill 71%,238 (7.9) CS,Control Ward 2,Level16,Flash,Heal
41,Normal,3662429335,None,LAFLAMME 01,Defeat,35m 47s,Bard,6 / 12 / 24,P/Kill 65%,44 (1.2) CS,Control Ward 8,Level16,Flash,Ignite
42,Normal,3662422892,None,LAFLAMME 01,Victory,24m 8s,Lulu,8 / 2 / 17,P/Kill 71%,14 (0.6) CS,Control Ward 7,Level14,Flash,Ignite
43,Normal,3662346896,None,LAFLAMME 01,Victory,23m 57s,Thresh,3 / 4 / 27,P/Kill 65%,37 (1.5) CS,Control Ward 8,Level14,Flash,Ignite
44,Normal,3662332325,None,LAFLAMME 01,Victory,17m 42s,Rakan,3 / 4 / 23,P/Kill 68%,22 (1.2) CS,Control Ward 5,Level10,Flash,Ignite
45,Normal,3662257403,None,LAFLAMME 01,Victory,22m 19s,Leona,3 / 6 / 23,P/Kill 72%,26 (1.2) CS,Control Ward 3,Level13,Flash,Ignite
46,Normal,3662227752,None,LAFLAMME 01,Defeat,19m 17s,Irelia,4 / 4 / 4,P/Kill 53%,156 (8.1) CS,Control Ward 2,Level12,Flash,Ignite
47,Normal,3662203172,None,LAFLAMME 01,Victory,24m 44s,Taliyah,6 / 4 / 4,P/Kill 48%,194 (7.8) CS,Control Ward 5,Level15,Flash,Smite
48,Normal,3662209770,None,LAFLAMME 01,Victory,16m 34s,Nidalee,4 / 1 / 4,P/Kill 53%,106 (6.4) CS,Control Ward 2,Level11,Flash,Smite
49,Normal,3662173357,None,LAFLAMME 01,Defeat,27m 59s,Yasuo,2 / 11 / 2,P/Kill 14%,204 (7.3) CS,0,Level13,Flash,Ignite
50,Normal,3674506737,None,Revenge,Defeat,34m 3s,Illaoi,7 / 11 / 6,P/Kill 42%,256 (7.5) CS,Control Ward 1,Level18,Teleport,Flash
51,Normal,3674497585,None,Revenge,Defeat,35m 16s,Illaoi,23 / 8 / 3,P/Kill 70%,268 (7.6) CS,0,Level18,Teleport,Flash
52,Normal,3672730133,None,Revenge,Victory,26m 33s,Jayce,20 / 5 / 11,P/Kill 89%,219 (8.2) CS,Control Ward 1,Level16,Teleport,Flash
53,Flex 5:5 Rank,3672351062,Silver 1,Revenge,Victory,24m 0s,Viktor,10 / 6 / 9,P/Kill 39%,211 (8.8) CS,0,Level15,Teleport,Flash
54,Normal,3666627160,None,Revenge,Victory,21m 29s,Ryze,16 / 2 / 8,P/Kill 65%,238 (11.1) CS,0,Level15,Teleport,Flash
55,Normal,3666629873,None,Revenge,Victory,39m 38s,Fiora,22 / 8 / 7,P/Kill 81%,332 (8.4) CS,0,Level18,Teleport,Flash
56,Normal,3666586405,None,Revenge,Defeat,21m 53s,Illaoi,2 / 13 / 4,P/Kill 38%,124 (5.7) CS,0,Level11,Teleport,Flash
57,Normal,3666552866,None,Revenge,Victory,32m 14s,Illaoi,8 / 12 / 12,P/Kill 61%,262 (8.1) CS,0,Level17,Teleport,Flash
58,Normal,3666454865,None,Revenge,Victory,35m 51s,Irelia,26 / 12 / 9,P/Kill 78%,281 (7.8) CS,Control Ward 2,Level18,Teleport,Flash
59,Normal,3666482249,None,Revenge,Victory,16m 23s,Sion,7 / 2 / 4,P/Kill 48%,138 (8.4) CS,Control Ward 1,Level12,Teleport,Flash
60,Normal,3666439526,None,Revenge,Victory,18m 50s,Sion,9 / 2 / 5,P/Kill 52%,136 (7.2) CS,Control Ward 1,Level14,Teleport,Flash
61,Normal,3666438723,None,Revenge,Remake,3m 13s,Sion,0 / 0 / 0,P/Kill 0%,13 (4) CS,0,Level3,Teleport,Flash
62,Normal,3666406609,None,Revenge,Victory,26m 6s,Ryze,19 / 7 / 11,P/Kill 65%,225 (8.6) CS,0,Level17,Teleport,Flash
63,Normal,3666433530,None,Revenge,Victory,22m 32s,Jayce,8 / 2 / 6,P/Kill 48%,219 (9.7) CS,0,Level15,Teleport,Flash
64,Flex 5:5 Rank,3665822493,Platinum 2,Revenge,Defeat,21m 20s,Fizz,2 / 5 / 2,P/Kill 44%,140 (6.6) CS,0,Level12,Ignite,Teleport
65,Flex 5:5 Rank,3665656787,Gold 1,Revenge,Victory,15m 54s,Irelia,6 / 1 / 5,P/Kill 50%,140 (8.8) CS,0,Level12,Teleport,Flash
66,Flex 5:5 Rank,3665589323,Platinum 4,Revenge,Defeat,26m 1s,Ryze,19 / 10 / 5,P/Kill 62%,177 (6.8) CS,0,Level14,Teleport,Flash
67,Flex 5:5 Rank,3665569784,Platinum 4,Revenge,Victory,34m 27s,Ryze,23 / 11 / 3,P/Kill 67%,236 (6.9) CS,0,Level18,Teleport,Flash
68,Normal,3665456005,None,Revenge,Defeat,15m 30s,Irelia,2 / 5 / 0,P/Kill 33%,117 (7.5) CS,0,Level10,Teleport,Flash
69,Normal,3665420628,None,Revenge,Defeat,15m 25s,Cho'Gath,3 / 4 / 1,P/Kill 57%,89 (5.8) CS,0,Level10,Teleport,Flash
70,Normal,3665343256,None,Revenge,Defeat,36m 47s,Vladimir,6 / 9 / 10,P/Kill 44%,299 (8.1) CS,0,Level18,Teleport,Flash
71,Normal,3665040597,None,Revenge,Victory,25m 53s,Camille,10 / 8 / 10,P/Kill 50%,158 (6.1) CS,Control Ward 1,Level15,Teleport,Flash
72,Normal,3664902707,None,Revenge,Victory,35m 57s,Gangplank,12 / 12 / 13,P/Kill 42%,233 (6.5) CS,0,Level18,Teleport,Flash
73,ARAM,3664402297,None,Revenge,Defeat,19m 7s,Katarina,19 / 15 / 13,P/Kill 70%,26 (1.4) CS,0,Level17,Mark,Flash
74,ARAM,3664347893,None,Revenge,Victory,17m 49s,Akali,24 / 12 / 18,P/Kill 71%,28 (1.6) CS,0,Level17,Mark,Flash
75,ARAM,3664284589,None,Revenge,Victory,21m 15s,Samira,24 / 16 / 18,P/Kill 75%,74 (3.5) CS,0,Level18,Mark,Flash
76,ARAM,3664319994,None,Revenge,Victory,18m 22s,Kassadin,18 / 12 / 20,P/Kill 70%,43 (2.3) CS,0,Level18,Mark,Flash
77,Normal,3664243009,None,Revenge,Victory,29m 6s,Kayle,10 / 11 / 6,P/Kill 39%,244 (8.4) CS,0,Level18,Teleport,Flash
78,Normal,3664025242,None,Revenge,Victory,37m 49s,Cho'Gath,18 / 11 / 18,P/Kill 62%,232 (6.1) CS,0,Level18,Teleport,Flash
79,Normal,3663967500,None,Revenge,Victory,21m 43s,Cho'Gath,8 / 4 / 3,P/Kill 50%,179 (8.2) CS,0,Level14,Teleport,Flash
80,Normal,3663889567,None,Revenge,Victory,24m 6s,Irelia,10 / 6 / 5,P/Kill 50%,209 (8.7) CS,Control Ward 1,Level14,Teleport,Flash
81,Flex 5:5 Rank,3663622558,Platinum 3,Revenge,Victory,16m 3s,Irelia,12 / 3 / 2,P/Kill 54%,142 (8.8) CS,0,Level12,Teleport,Flash
82,Flex 5:5 Rank,3663548425,Diamond 4,Revenge,Defeat,21m 30s,Kennen,5 / 7 / 1,P/Kill 43%,141 (6.6) CS,0,Level13,Teleport,Flash
83,Flex 5:5 Rank,3663532760,Platinum 1,Revenge,Victory,33m 16s,Illaoi,10 / 7 / 5,P/Kill 65%,257 (7.7) CS,Control Ward 1,Level17,Teleport,Flash
84,Flex 5:5 Rank,3663419490,Platinum 2,Revenge,Defeat,25m 58s,Illaoi,8 / 10 / 2,P/Kill 48%,176 (6.8) CS,Control Ward 1,Level14,Teleport,Flash
85,Normal,3662586533,None,Revenge,Defeat,25m 31s,Sylas,13 / 9 / 4,P/Kill 47%,131 (5.1) CS,0,Level14,Teleport,Flash
86,Normal,3662550977,None,Revenge,Victory,20m 34s,Aatrox,11 / 5 / 3,P/Kill 50%,168 (8.2) CS,0,Level14,Teleport,Flash
87,Flex 5:5 Rank,3662446909,Platinum 3,Revenge,Victory,22m 55s,Vayne,10 / 6 / 9,P/Kill 42%,167 (7.3) CS,0,Level13,Cleanse,Flash
88,Flex 5:5 Rank,3662169449,Platinum 2,Revenge,Defeat,18m 6s,Kayle,3 / 6 / 0,P/Kill 33%,118 (6.5) CS,0,Level11,Teleport,Flash
89,Flex 5:5 Rank,3662125074,Platinum 2,Revenge,Victory,34m 18s,Qiyana,9 / 13 / 6,P/Kill 31%,139 (4.1) CS,Control Ward 3,Level15,Smite,Flash
90,Flex 5:5 Rank,3662140292,Platinum 2,Revenge,Victory,28m 37s,Riven,16 / 10 / 5,P/Kill 51%,168 (5.9) CS,0,Level16,Teleport,Flash
91,Flex 5:5 Rank,3662105516,Platinum 3,Revenge,Defeat,26m 32s,Samira,11 / 11 / 8,P/Kill 53%,186 (7) CS,0,Level15,Heal,Flash
92,Flex 5:5 Rank,3662006403,Platinum 1,Revenge,Defeat,37m 11s,Irelia,12 / 14 / 2,P/Kill 58%,291 (7.8) CS,0,Level17,Teleport,Flash
93,Flex 5:5 Rank,3662021918,Diamond 3,Revenge,Victory,22m 43s,Samira,13 / 6 / 7,P/Kill 59%,150 (6.6) CS,0,Level13,Heal,Flash
94,Flex 5:5 Rank,3661967720,Gold 1,Revenge,Defeat,18m 38s,Yone,2 / 8 / 3,P/Kill 63%,123 (6.6) CS,0,Level9,Cleanse,Flash
95,Flex 5:5 Rank,3661945142,Gold 3,Revenge,Victory,16m 53s,Pyke,9 / 4 / 9,P/Kill 51%,21 (1.2) CS,0,Level9,Ignite,Flash
96,Flex 5:5 Rank,3661931905,Silver 3,Revenge,Victory,18m 0s,Jayce,11 / 2 / 5,P/Kill 46%,168 (9.3) CS,0,Level13,Teleport,Flash
97,Normal,3661887495,None,Revenge,Victory,27m 47s,Fiora,14 / 7 / 4,P/Kill 41%,175 (6.3) CS,0,Level15,Teleport,Flash
98,Normal,3660897932,None,Revenge,Defeat,27m 42s,Vladimir,6 / 8 / 8,P/Kill 61%,192 (6.9) CS,0,Level14,Teleport,Flash
99,Normal,3660899871,None,Revenge,Victory,29m 54s,Ryze,16 / 7 / 5,P/Kill 62%,261 (8.7) CS,0,Level17,Teleport,Flash
100,ARAM,3672386885,None,First Kyu,Defeat,12m 30s,Ornn,5 / 10 / 16,P/Kill 70%,13 (1) CS,0,Level12,Mark,Flash
101,ARAM,3672394120,None,First Kyu,Defeat,14m 48s,Jhin,12 / 12 / 17,P/Kill 78%,42 (2.8) CS,0,Level15,Mark,Flash
102,ARAM,3672342583,None,First Kyu,Victory,17m 41s,Quinn,10 / 11 / 13,P/Kill 50%,30 (1.7) CS,0,Level15,Mark,Flash
103,ARAM,3669956762,None,First Kyu,Defeat,21m 2s,Orianna,4 / 9 / 33,P/Kill 90%,56 (2.7) CS,0,Level18,Mark,Flash
104,ARAM,3668508746,None,First Kyu,Defeat,21m 50s,Darius,9 / 12 / 13,P/Kill 43%,46 (2.1) CS,0,Level18,Mark,Flash
105,ARAM,3668482962,None,First Kyu,Defeat,26m 2s,Karma,3 / 15 / 44,P/Kill 66%,30 (1.2) CS,0,Level18,Mark,Flash
106,ARAM,3668445787,None,First Kyu,Victory,20m 52s,Talon,12 / 12 / 21,P/Kill 59%,47 (2.3) CS,0,Level18,Mark,Flash
107,ARAM,3668411383,None,First Kyu,Victory,17m 56s,Twisted Fate,5 / 9 / 25,P/Kill 67%,34 (1.9) CS,0,Level17,Mark,Flash
108,Clash,3664185716,None,First Kyu,Victory,23m 28s,Yone,10 / 5 / 6,P/Kill 47%,159 (6.8) CS,Control Ward 3,Level13,Heal,Flash
109,Clash,3664095085,None,First Kyu,Victory,30m 13s,Yone,12 / 6 / 8,P/Kill 54%,230 (7.6) CS,Control Ward 1,Level15,Heal,Flash
110,Clash,3664024049,None,First Kyu,Defeat,20m 36s,Ashe,3 / 8 / 2,P/Kill 50%,140 (6.8) CS,Control Ward 3,Level11,Heal,Flash
111,Flex 5:5 Rank,3662148967,Platinum 4,First Kyu,Victory,33m 29s,Malzahar,10 / 7 / 22,P/Kill 64%,237 (7.1) CS,Control Ward 9,Level18,Teleport,Flash
112,Flex 5:5 Rank,3662114464,Platinum 4,First Kyu,Defeat,34m 32s,Yone,8 / 11 / 4,P/Kill 36%,282 (8.2) CS,Control Ward 7,Level18,Exhaust,Ignite
113,Flex 5:5 Rank,3661128729,Gold 2,First Kyu,Defeat,33m 46s,Yuumi,0 / 9 / 20,P/Kill 56%,10 (0.3) CS,Control Ward 4,Level15,Exhaust,Ignite
114,Normal,3661062609,None,First Kyu,Victory,26m 5s,Yone,10 / 3 / 12,P/Kill 41%,187 (7.2) CS,Control Ward 3,Level16,Teleport,Flash
115,Normal,3661025318,None,First Kyu,Defeat,28m 45s,Morgana,6 / 10 / 5,P/Kill 46%,29 (1) CS,Control Ward 4,Level13,Ignite,Flash
116,Flex 5:5 Rank,3659312545,Silver 1,First Kyu,Victory,21m 45s,Talon,9 / 5 / 6,P/Kill 56%,126 (5.8) CS,Control Ward 2,Level12,Ignite,Flash
117,Flex 5:5 Rank,3659304228,Silver 2,First Kyu,Victory,21m 49s,Xerath,2 / 7 / 11,P/Kill 41%,23 (1.1) CS,Control Ward 2,Level11,Exhaust,Flash
118,Flex 5:5 Rank,3659225879,Silver 1,First Kyu,Defeat,23m 26s,Seraphine,6 / 4 / 6,P/Kill 80%,32 (1.4) CS,Control Ward 2,Level11,Exhaust,Flash
119,Flex 5:5 Rank,3658557176,Silver 4,First Kyu,Defeat,39m 36s,Gragas,17 / 12 / 17,P/Kill 74%,189 (4.8) CS,Control Ward 6,Level18,Smite,Flash
120,URF,3651358774,None,First Kyu,Victory,16m 4s,Renekton,17 / 11 / 8,P/Kill 46%,106 (6.6) CS,0,Level16,Ghost,Flash
121,URF,3651293820,None,First Kyu,Defeat,25m 41s,Maokai,10 / 11 / 25,P/Kill 56%,115 (4.5) CS,0,Level18,Ghost,Flash
122,ARAM,3648371994,None,First Kyu,Defeat,25m 12s,Seraphine,4 / 10 / 39,P/Kill 75%,76 (3) CS,0,Level18,Mark,Flash
123,ARAM,3648284590,None,First Kyu,Victory,33m 3s,Rumble,31 / 17 / 26,P/Kill 78%,74 (2.2) CS,0,Level18,Mark,Flash
124,URF,3647554039,None,First Kyu,Defeat,20m 54s,Fizz,19 / 6 / 14,P/Kill 65%,97 (4.6) CS,0,Level20,Ghost,Flash
125,URF,3647531752,None,First Kyu,Victory,24m 9s,Renekton,28 / 18 / 13,P/Kill 53%,131 (5.4) CS,0,Level22,Ghost,Flash
126,URF,3647488696,None,First Kyu,Defeat,18m 0s,Yone,4 / 16 / 9,P/Kill 39%,41 (2.3) CS,0,Level15,Ghost,Flash
127,URF,3647447841,None,First Kyu,Defeat,16m 8s,Jarvan IV,20 / 18 / 17,P/Kill 80%,89 (5.5) CS,0,Level15,Smite,Flash
128,Ranked Solo,3646328198,Challenger,First Kyu,Defeat,42m 4s,Twisted Fate,1 / 9 / 11,P/Kill 60%,263 (6.3) CS,Control Ward 10,Level18,Teleport,Flash
129,Ranked Solo,3646344567,Grandmaster,First Kyu,Remake,3m 11s,LeBlanc,0 / 0 / 0,P/Kill 0%,13 (4.1) CS,0,Level3,Teleport,Flash
130,Ranked Solo,3646318256,Grandmaster,First Kyu,Defeat,23m 42s,Sylas,3 / 4 / 4,P/Kill 70%,162 (6.8) CS,Control Ward 4,Level12,Teleport,Flash
131,ARAM,3646306064,None,First Kyu,Victory,17m 10s,Gragas,9 / 7 / 25,P/Kill 69%,22 (1.3) CS,0,Level16,Mark,Flash
132,Ranked Solo,3640316820,Grandmaster,First Kyu,Victory,24m 39s,Ezreal,8 / 2 / 11,P/Kill 66%,199 (8.1) CS,Control Ward 5,Level14,Heal,Flash
133,Ranked Solo,3640342483,Grandmaster,First Kyu,Victory,15m 22s,Ezreal,6 / 0 / 7,P/Kill 68%,125 (8.1) CS,Control Ward 2,Level10,Barrier,Flash
134,Ranked Solo,3640285042,Grandmaster,First Kyu,Defeat,33m 45s,Sylas,8 / 5 / 8,P/Kill 64%,239 (7.1) CS,Control Ward 8,Level16,Teleport,Flash
135,Ranked Solo,3640241173,Grandmaster,First Kyu,Victory,23m 31s,Sylas,3 / 4 / 8,P/Kill 38%,140 (6) CS,Control Ward 2,Level13,Teleport,Flash
136,ARAM,3640185683,None,First Kyu,Victory,12m 48s,Seraphine,7 / 5 / 33,P/Kill 75%,21 (1.6) CS,0,Level14,Mark,Flash
137,Ranked Solo,3638626741,Grandmaster,First Kyu,Victory,15m 17s,Ezreal,5 / 2 / 7,P/Kill 71%,117 (7.7) CS,Control Ward 1,Level10,Cleanse,Flash
138,Ranked Solo,3638608994,Grandmaster,First Kyu,Victory,33m 58s,Orianna,16 / 5 / 11,P/Kill 75%,288 (8.5) CS,Control Ward 6,Level18,Teleport,Flash
139,Ranked Solo,3638582826,Challenger,First Kyu,Defeat,26m 27s,LeBlanc,5 / 2 / 2,P/Kill 50%,202 (7.6) CS,Control Ward 5,Level14,Ignite,Flash
140,Ranked Solo,3638547741,Challenger,First Kyu,Victory,24m 8s,Sylas,11 / 0 / 6,P/Kill 61%,183 (7.6) CS,Control Ward 4,Level14,Teleport,Flash
141,ARAM,3638525143,None,First Kyu,Defeat,14m 14s,Vayne,4 / 12 / 12,P/Kill 59%,25 (1.8) CS,0,Level12,Mark,Flash
142,ARAM,3638540067,None,First Kyu,Victory,16m 19s,Talon,17 / 9 / 14,P/Kill 78%,74 (4.5) CS,0,Level16,Mark,Flash
143,Ranked Solo,3637346533,Grandmaster,First Kyu,Victory,23m 26s,LeBlanc,5 / 0 / 8,P/Kill 54%,185 (7.9) CS,Control Ward 10,Level14,Teleport,Flash
144,Ranked Solo,3637320147,Grandmaster,First Kyu,Victory,27m 27s,Jayce,9 / 3 / 17,P/Kill 67%,242 (8.8) CS,Control Ward 8,Level16,Ignite,Flash
145,Ranked Solo,3637283653,Challenger,First Kyu,Defeat,22m 5s,Sylas,3 / 5 / 1,P/Kill 57%,163 (7.4) CS,Control Ward 5,Level12,Teleport,Flash
146,Ranked Solo,3637208606,Grandmaster,First Kyu,Victory,27m 1s,Sylas,6 / 2 / 6,P/Kill 38%,192 (7.1) CS,Control Ward 7,Level15,Teleport,Flash
147,ARAM,3637204385,None,First Kyu,Victory,18m 7s,Azir,4 / 11 / 29,P/Kill 61%,39 (2.2) CS,0,Level16,Mark,Flash
148,Ranked Solo,3635743621,Challenger,First Kyu,Victory,26m 48s,Orianna,5 / 3 / 17,P/Kill 67%,211 (7.9) CS,Control Ward 5,Level15,Teleport,Flash
149,Ranked Solo,3635547871,Challenger,First Kyu,Defeat,25m 8s,Sylas,3 / 3 / 4,P/Kill 58%,192 (7.6) CS,Control Ward 5,Level14,Teleport,Flash
150,Normal,3673008398,None,Yunbee2,Defeat,15m 38s,Irelia,0 / 8 / 0,P/Kill 0%,110 (7) CS,0,Level9,Teleport,Flash
151,Normal,3672991989,None,Yunbee2,Defeat,33m 9s,Akali,8 / 7 / 4,P/Kill 38%,239 (7.2) CS,Control Ward 4,Level16,Ignite,Flash
152,Normal,3668546894,None,Yunbee2,Defeat,15m 7s,Pyke,2 / 4 / 1,P/Kill 50%,20 (1.3) CS,Control Ward 1,Level7,Ignite,Flash
153,Normal,3668479614,None,Yunbee2,Defeat,32m 5s,Cho'Gath,10 / 6 / 3,P/Kill 37%,252 (7.9) CS,Control Ward 1,Level16,Ignite,Flash
154,Normal,3666528814,None,Yunbee2,Defeat,36m 59s,Irelia,14 / 13 / 6,P/Kill 38%,311 (8.4) CS,0,Level18,Teleport,Flash
155,Normal,3665098814,None,Yunbee2,Victory,27m 7s,Akali,20 / 3 / 3,P/Kill 45%,208 (7.7) CS,Control Ward 1,Level16,Teleport,Flash
156,ARAM,3665035779,None,Yunbee2,Victory,20m 29s,Ryze,16 / 9 / 33,P/Kill 82%,111 (5.4) CS,0,Level18,Ghost,Flash
157,ARAM,3664350381,None,Yunbee2,Defeat,24m 58s,Pantheon,25 / 15 / 28,P/Kill 84%,76 (3) CS,0,Level18,Ghost,Flash
